Filename,pvalue_BUSTEDSMH,pvalue_BUSTEDS,delta_for_p-value,BUSTEDS-dNdS,BUSTEDSMH-dNdS,delta_dNdS
ENSGT00390000002693.Euteleostomi.001.nex,0.5,0.388669158788728,0.11133084121127201,0.1346309393833413,0.115746700163316,-0.018884239220025315
ENSGT00390000009763.Euteleostomi.003.nex,0.5,0.4915825139884501,0.008417486011549902,0.06154545987413931,0.05179303402847875,-0.009752425845660564
ENSGT00390000002684.Euteleostomi.001.nex,0.3009094328917753,0.09252235353782273,0.20838707935395256,0.796189969435887,0.8072780548907152,0.0110880854548282
ENSGT00390000009671.Euteleostomi.001.nex,0.5,0.5,0.0,0.09655811523791134,0.0800910132501451,-0.01646710198776624
ENSGT00390000008122.Euteleostomi.001.nex,0.4889941634598244,0.4773654557312013,0.011628707728623067,0.5149448167094336,0.4951212436794267,-0.01982357303000687
ENSGT00390000012488.Euteleostomi.001.nex,0.5,0.5,0.0,0.0202321023302681,0.01640285046234409,-0.0038292518679240092
ENSGT00390000008135.Euteleostomi.001.nex,0.5,0.5,0.0,0.03276807455150497,0.02765340767416103,-0.0051146668773439374
ENSGT00390000014318.Euteleostomi.002.nex,0.5,0.5,0.0,0.2426052471280067,0.2146405196556747,-0.027964727472332
ENSGT00390000013146.Euteleostomi.001.nex,0.5,0.1682023373661337,0.33179766263386634,0.1677946760254885,0.1096933331888598,-0.0581013428366287
ENSGT00390000011553.Euteleostomi.001.nex,0.5,0.5,0.0,0.251958905169701,0.2239311899441243,-0.028027715225576677
ENSGT00390000000970.Euteleostomi.001.nex,0.2795357916632103,0.2108121003186452,0.0687236913445651,0.01619048322169818,0.0135522071770573,-0.0026382760446408797
ENSGT00390000004808.Euteleostomi.001.nex,0.5,0.5,0.0,0.07484170348982983,0.06689998558228807,-0.007941717907541751
ENSGT00390000013151.Euteleostomi.001.nex,0.5,0.08951404594894319,0.4104859540510568,0.05346892346730197,0.04478476098200512,-0.008684162485296847
ENSGT00390000013227.Euteleostomi.005.nex,0.452316914121195,0.4336853631464091,0.018631550974785915,0.1862607948870067,0.1749074227759151,-0.011353372111091609
ENSGT00390000011401.Euteleostomi.001.nex,0.02091284449417352,0.02343127745968576,-0.002518432965512237,0.1177931213394832,0.09101907108491455,-0.02677405025456865
ENSGT00390000015579.Euteleostomi.001.nex,0.5,0.1622155786996748,0.3377844213003252,0.08480952471431055,0.07045406204735209,-0.01435546266695846
ENSGT00390000004114.Euteleostomi.002.nex,0.5,0.03366778502272627,0.46633221497727373,0.03874062463720389,0.0321712287608295,-0.006569395876374388
